"","species","family","order","id","BodyMass.Value","BodyMass.SpecLevel","phylogeny","median_lat","redlistCategory","use1","use2","use3","use4","use5","use6","use7","use8","use9","use10","use11","use12","use13","use14","use15","use16","domestication","status","x","y"
"94","Akodon albiventer","Cricetidae","Rodentia",299290,21.8,1,"Yes",-18.666666,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","sibling_higher",-67.2742230586775,-19.6479622530475
"95","Akodon aliquantulus","Cricetidae","Rodentia",694678,31.32,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","sibling_higher",NA,NA
"96","Akodon arviculoides","Cricetidae","Rodentia",7654625,NA,NA,"Yes",-23.551621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","sibling_higher",-45.9999999999998,-23.0037047626266
"97","Akodon azarae","Cricetidae","Rodentia",754324,25,1,NA,NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","sibling_higher",NA,NA
"98","Akodon baliolus","Cricetidae","Rodentia",224511,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","sibling_higher",NA,NA
"99","Akodon bogotensis","Cricetidae","Rodentia",3608362,13,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","sibling_higher",NA,NA
"100","Akodon boliviensis","Cricetidae","Rodentia",292086,27.5,1,"Yes",-16.083334,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","sibling_higher",-67.3712880571585,-18.8172086955634
"101","Akodon budini","Cricetidae","Rodentia",837330,26.9,1,"Yes",-24.075002,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","sibling_higher",-65.0000000000003,-24.0155502468951
"103","Akodon cursor","Cricetidae","Rodentia",754322,39.85,1,"Yes",-24.333333,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","sibling_higher",-51.556042271713,-24.4273609288129
"104","Akodon dayi","Cricetidae","Rodentia",837345,32.5,1,"Yes",-16.799999,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","sibling_higher",-64.5032152328736,-16.2677994975824
